t,q0,q1,q2,q3,q4,q5,qdot0,qdot1,qdot2,qdot3,qdot4,qdot5,tau0,tau1,tau2,tau3,tau4,tau5
0.000000000000000000e+00,6.437414035671045198e-01,2.292229859902122246e+00,-1.545202305100775719e+00,-7.470275508543359200e-01,-6.437413926104768036e-01,1.570799998693296562e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.163150256595226056e-01,-1.963650318255613314e+01,-1.129257736597139861e+01,-3.863274900106600906e+00,-1.786499820689281259e-01,1.916112014803099048e-02
2.000000000000000042e-03,6.437224602595312817e-01,2.292209409678207521e+00,-1.545057371297260840e+00,-7.471124223655570828e-01,-6.435536834957791275e-01,1.570831372276043414e+00,6.152340994721634121e-03,6.739367892301806676e-03,-4.696225297781834312e-02,2.739157217092424296e-02,-6.081156884824168163e-02,-1.019603486011094913e-02,-1.062962283894653137e-01,-1.953642908357861785e+01,-1.123256122850838779e+01,-3.842417356539987505e+00,-1.745925408342478558e-01,1.891817033751442417e-02
4.000000000000000083e-03,6.437159745566221059e-01,2.292202249169947414e+00,-1.545007926821042599e+00,-7.471411991161623911e-01,-6.434896639968510357e-01,1.570842124581625088e+00,1.225467598367521553e-02,1.354054567716420771e-02,-9.341280644782502807e-02,5.435424332612967535e-02,-1.209473955393672029e-01,-2.031711843664376488e-02,-9.562705470498292226e-02,-1.943754223062501296e+01,-1.117234453198999944e+01,-3.821420112730893326e+00,-1.705542589093737849e-01,1.867892325131016718e-02
6.000000000000000125e-03,6.437218464463743128e-01,2.292208501997178072e+00,-1.545052948273132776e+00,-7.471147389081161938e-01,-6.435479826293641903e-01,1.570832405512583074e+00,1.830700496873139890e-02,2.040353336556079492e-02,-1.393516604158825667e-01,8.088801348106340605e-02,-1.804074800700951331e-01,-3.036325073594772772e-02,-8.432632395465766706e-02,-1.933978971936626223e+01,-1.111192948637725308e+01,-3.800283448633749561e+00,-1.665333729572670007e-01,1.844322567250776881e-02
8.000000000000000167e-03,6.437399759167838909e-01,2.292228291779730309e+00,-1.545191412254540042e+00,-7.470338995433811746e-01,-6.437272879089895872e-01,1.570802364971454645e+00,2.430932795176082850e-02,2.732833096846512197e-02,-1.847788148878532766e-01,1.069928826511724607e-01,-2.391918224371439305e-01,-4.033443176437209732e-02,-7.241285548707164510e-02,-1.924311864547328810e+01,-1.105131830163115758e+01,-3.779007644202981631e+00,-1.625281196408883966e-01,1.821092438419676454e-02
1.000000000000000021e-02,6.437702629558483824e-01,2.292261742137438496e+00,-1.545422295366275289e+00,-7.468995388239211275e-01,-6.440262283513987773e-01,1.570752152860779738e+00,3.026164493463415900e-02,3.431493849685079284e-02,-2.296942698695996765e-01,1.326688508519039411e-01,-2.973004226372321646e-01,-5.023066152826616976e-02,-5.990546865080701583e-02,-1.914747610461701655e+01,-1.099051318771272712e+01,-3.757592979393019395e+00,-1.585367356231990321e-01,1.798186616946670022e-02
1.200000000000000025e-02,6.438126075515637758e-01,2.292308976690136557e+00,-1.545744574209348743e+00,-7.467125145516995133e-01,-6.444434524722633117e-01,1.570681919083097844e+00,3.616395591922204333e-02,4.136335596169136986e-02,-2.740980253669841882e-01,1.579159180987049771e-01,-3.547332806670783767e-01,-6.005194003397920643e-02,-4.682298279444593175e-02,-1.905280919246838067e+01,-1.092951635458297233e+01,-3.736039734158289605e+00,-1.545574575671598838e-01,1.775589781140712517e-02
1.400000000000000029e-02,6.438669096919271695e-01,2.292370119057657529e+00,-1.546157225384770628e+00,-7.464736845286796818e-01,-6.449776087872540753e-01,1.570591813540948012e+00,4.201626090739513097e-02,4.847358337396043271e-02,-3.179900813858692055e-01,1.827340844070225734e-01,-4.114903965234011363e-01,-6.979826728786051038e-02,-3.318421726657053150e-02,-1.895906500469829581e+01,-1.086833001220290740e+01,-3.714348188453221233e+00,-1.505885221357318449e-01,1.753286609310757832e-02
1.600000000000000033e-02,6.439330693649348847e-01,2.292445292859833561e+00,-1.546659225493550061e+00,-7.461839065568250939e-01,-6.456273458120423969e-01,1.570481986136869068e+00,4.781855990102405751e-02,5.564562074463154373e-02,-3.613704379321169835e-01,2.071233497923037625e-01,-4.675717702029188461e-01,-7.946964329625928747e-02,-1.900799141576296064e-02,-1.886619063697769150e+01,-1.080695637053353941e+01,-3.692518622232239700e+00,-1.466281659918759195e-01,1.731261779765759165e-02
1.800000000000000211e-02,6.440109865585861293e-01,2.292534621716512788e+00,-1.547249551136705703e+00,-7.458440384380811139e-01,-6.463913120622960529e-01,1.570352586773392956e+00,5.357085290221610951e-02,6.287946808456666703e-02,-4.042390950115884451e-01,2.310837142700886138e-01,-5.229774017029471533e-01,-8.906606806543171384e-02,-4.312956903938925182e-03,-1.877413334662055888e+01,-1.074539752470679588e+01,-3.670551248984695647e+00,-1.426746996373487453e-01,1.709500204731570841e-02
