t,q0,q1,q2,q3,q4,q5,qdot0,qdot1,qdot2,qdot3,qdot4,qdot5,tau0,tau1,tau2,tau3,tau4,tau5
0.000000000000000000e+00,6.437414035671045198e-01,2.292229859902122246e+00,-1.545202305100775719e+00,-7.470275508543359200e-01,-6.437413926104768036e-01,1.570799998693296562e+00,0.000000000000000000e+00,-2.171697444252519076e-25,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.018205101742190255e+00,-2.558367144982705810e+01,-1.473513726217788999e+01,-4.948916384209128161e+00,2.212766180170864516e-01,6.511712368364877893e-03
2.000000000000000042e-03,6.437224511194418186e-01,2.292238424594135182e+00,-1.545063072591254416e+00,-7.471679371968960037e-01,-6.436509033685228198e-01,1.570817675436025906e+00,9.673394776064776768e-03,-4.271060030560069366e-03,-7.097180485860379862e-02,7.146185168151393541e-02,-4.621071637413732419e-02,-9.015670584399990140e-03,1.992235963414058064e+00,-2.538414579316906128e+01,-1.461281610014334653e+01,-4.908566612269920526e+00,2.185106962292920896e-01,6.488942791905838794e-03
4.000000000000000083e-03,6.437230717981762274e-01,2.292238048005922124e+00,-1.545067721332916699e+00,-7.471631560171884123e-01,-6.436538431847570463e-01,1.570817090217581313e+00,1.923035242546911397e-02,-8.336775652554881053e-03,-1.409468063108216263e-01,1.417693893923908655e-01,-9.190306816650967159e-02,-1.791270060809242032e-02,1.966629846364859935e+00,-2.518865188783930620e+01,-1.449121157729519460e+01,-4.868526290925529132e+00,2.154697758529851292e-01,6.477359194504758028e-03
6.000000000000000125e-03,6.437430327290639687e-01,2.292229140826568035e+00,-1.545214257718702466e+00,-7.470155159432730896e-01,-6.437491753300232933e-01,1.570798480319075541e+00,2.867087295188837023e-02,-1.219714676452294394e-02,-2.099250042632472557e-01,2.109226130877248639e-01,-1.370770553799809666e-01,-2.669109007407993381e-02,1.941376593490444558e+00,-2.499698608288355572e+01,-1.437028886446813836e+01,-4.828774484456055838e+00,2.121681528619493995e-01,6.476408608433317088e-03
8.000000000000000167e-03,6.437821010378620423e-01,2.292212113745158764e+00,-1.545500688141552059e+00,-7.467273256032103124e-01,-6.439358630751658152e-01,1.570762083021622679e+00,3.799495635899791113e-02,-1.585217326500277732e-02,-2.779063986224745708e-01,2.789215227226102267e-01,-1.817326780174153278e-01,-3.535083898536518776e-02,1.916466047686663732e+00,-2.480894472734758693e+01,-1.425001313249688373e+01,-4.789290257141601614e+00,2.086201232299689512e-01,6.485538065963203543e-03
1.000000000000000021e-02,6.438400438503261158e-01,2.292187377450779273e+00,-1.545925018994405375e+00,-7.463008936250599135e-01,-6.442128696910287555e-01,1.570708135606335487e+00,4.720260265047309528e-02,-1.930185505253287706e-02,-3.448909892950973721e-01,3.457661182521409859e-01,-2.258699360816766311e-01,-4.389194734495081157e-02,1.891888051849366814e+00,-2.462432417027714493e+01,-1.413034955221613842e+01,-4.750052673262268321e+00,2.048399829308276965e-01,6.504194599366099755e-03
1.200000000000000025e-02,6.439166282922129669e-01,2.292155342632515413e+00,-1.546485256670202757e+00,-7.457385286368821697e-01,-6.445791584484562575e-01,1.570636875354328277e+00,5.629381182998909744e-02,-2.254619202565992866e-02,-4.108787761877172873e-01,4.114563996314162253e-01,-2.694888295756291963e-01,-5.231441515583929586e-02,1.867632448298982339e+00,-2.444292076259138113e+01,-1.401126329427108708e+01,-4.711040796973389178e+00,2.008420274239909042e-01,6.531825256928232813e-03
1.400000000000000029e-02,6.440116214892852575e-01,2.292116419979624897e+00,-1.547179407561724229e+00,-7.450425392668137414e-01,-6.450336926182971276e-01,1.570548539546709144e+00,6.526858390103480734e-02,-2.558518409083208531e-02,-4.758697592144318089e-01,4.759923668201386238e-01,-3.125893585023221122e-01,-6.061824242087704429e-02,1.843688522399029805e+00,-2.426453266846234769e+01,-1.389271934586845347e+01,-4.672233571665754148e+00,1.966400543551211633e-01,6.567892587555204664e-03
1.600000000000000033e-02,6.441247905673236351e-01,2.292071020181862373e+00,-1.548005478061295292e+00,-7.442152341432110019e-01,-6.455754354714144938e-01,1.570443365464571306e+00,7.412691886656509743e-02,-2.841883117714823215e-02,-5.398639383108270184e-01,5.393740197912091361e-01,-3.551715228653350431e-01,-6.880342914246294350e-02,1.820043962917178959e+00,-2.408896325000845806e+01,-1.377468216836264148e+01,-4.633609594541500343e+00,1.922464343161161271e-01,6.611903574873263280e-03
1.800000000000000211e-02,6.442559026521119669e-01,2.292019553929071751e+00,-1.548961474561157514e+00,-7.432589218944692933e-01,-6.462033502786737049e-01,1.570321590389006650e+00,8.286881672943953447e-02,-3.104713321775224438e-02,-6.028613134163266496e-01,6.016013585198851654e-01,-3.972353226683423277e-01,-7.686997532291561797e-02,1.796686173667420450e+00,-2.391601680060159296e+01,-1.365711612967523969e+01,-4.595147401460457637e+00,1.876732829042663253e-01,6.663373143783619772e-03
